test_name,p_value_uniformity,passed,total,pass_rate,min_required,meets_threshold
Frequency,0.213309,9,10,90.0,9,True
BlockFrequency,0.739918,10,10,100.0,9,True
CumulativeSums,0.911413,9,10,90.0,9,True
CumulativeSums,0.739918,9,10,90.0,9,True
Runs,0.122325,10,10,100.0,9,True
LongestRun,0.122325,10,10,100.0,9,True
Rank,0.066882,10,10,100.0,9,True
FFT,0.008879,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.066882,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,9,10,90.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,9,10,90.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,9,10,90.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.017912,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,9,10,90.0,9,True
NonOverlappingTemplate,0.122325,9,10,90.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.035174,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,9,10,90.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,9,10,90.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,9,10,90.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,9,10,90.0,9,True
NonOverlappingTemplate,0.066882,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.035174,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,9,10,90.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,9,10,90.0,9,True
NonOverlappingTemplate,0.122325,9,10,90.0,9,True
NonOverlappingTemplate,0.035174,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.991468,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,9,10,90.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,9,10,90.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.017912,9,10,90.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.066882,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.008879,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.066882,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.122325,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.035174,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.739918,10,10,100.0,9,True
NonOverlappingTemplate,0.534146,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,9,10,90.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.350485,10,10,100.0,9,True
NonOverlappingTemplate,0.911413,10,10,100.0,9,True
NonOverlappingTemplate,0.213309,10,10,100.0,9,True
NonOverlappingTemplate,0.066882,10,10,100.0,9,True
OverlappingTemplate,0.739918,10,10,100.0,9,True
Universal,0.739918,10,10,100.0,9,True
ApproximateEntropy,0.534146,8,10,80.0,9,False
Serial,0.739918,9,10,90.0,9,True
Serial,0.911413,10,10,100.0,9,True
LinearComplexity,0.911413,10,10,100.0,9,True
